P10101,P10202,P10303,P10404,P10505,P10606,P10707,P10808,P20109,P20210,P20311,P20412,P20513,P20614,P20715,P30116,P30217,P30318,P40119,P40220,P40321,P40422,P40523,P40624,P40725,P50126,P50227,P50328,P50429,P50530,P50631,P60132,P60233,P60334,P60435,P70136,P70237,P70338
AL20252361,Salazar,Muñoz,Leticia,al20252361@universidad.edu.mx,leticiasalazar@gmail.com,6175000623,27/04/2025,Licenciatura en Derecho,LDE-04,2,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,5,"$15,001-$25,000",Padre,Sí,16,Sí,"Apoyo familiar, Trabajo propio",No,NA,778,No,Sí a ambos,Primaria,Licenciatura,No,Sí,Sí,Sí,Sí
AL20255107,Cedillo,Solís,Carlos Alberto,al20255107@universidad.edu.mx,carlos.cedillo@gmail.com,5581212049,24/05/2025,Licenciatura en Administración de Empresas,LAE-02,2,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$5,001-$10,000",El propio estudiante,Sí,29,No,Trabajo propio,No,NA,647,Sí,Sí a ambos,Licenciatura,Secundaria,No,Sí,Sí,Sí,Sí
AL20242628,Vázquez,Bautista,Juan Pablo,juan.vazquez@universidad.edu.mx,juan.vazquez@gmail.com,5598088906,09/03/2025,Ingeniería en Sistemas Computacionales,ISC-01,1,Sí,1,No,NA,Beca de colegiatura,8.3,NA,Con otros familiares,4,"Menos de $5,000",Padre,Sí,37,No,"Apoyo familiar, Trabajo propio",Sí,"Beca Benito Juárez, $2,575",709,Sí,Solo computadora,Secundaria,Secundaria,Sí,Sí,No,Sí,Sí
AL20236469,Pacheco,Domínguez,Verónica,al20236469@universidad.edu.mx,veronica.pacheco879@yahoo.com,3368795748,21/01/2025,Licenciatura en Administración de Empresas,LAE-02,8,Sí,1,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$5,001-$10,000",Beca o apoyo gubernamental,Sí,28,Sí,"Apoyo familiar, Trabajo propio, Ahorro",No,NA,69,Sí,Solo internet,Sin estudios,Secundaria,Sí,No,Sí,Sí,Sí
AL20231696,Rosales,Soto,Leonardo,al20231696@universidad.edu.mx,leonardo.rosales@gmail.com,6195947753,13/03/2025,Licenciatura en Psicología,LPS-05,8,No,NA,No,NA,Beca de transporte,NA,44580,Con padres o tutores,6,"Menos de $5,000",Tutor,Sí,17,No,"Apoyo familiar, Trabajo propio",Sí,"Apoyo de gobierno estatal, $2,000",832,Sí,Sí a ambos,Secundaria,Secundaria,Sí,Sí,Sí,Sí,Sí
AL20238944,Álvarez,Zavala,María José,al20238944@universidad.edu.mx,maria_alvarez@gmail.com,3328157530,24/06/2025,Ingeniería Industrial,IIN-06,4,Sí,1,Sí,Laboral,Beca de inscripción/reinscripción,NA,NA,Con pareja,8+,"$5,001-$10,000",Madre,Sí,21,No,Trabajo propio,No,NA,42,No,Solo internet,Sin estudios,Secundaria,Sí,No,Sí,Sí,No
AL20247200,Arellano,Silva,Verónica,veronica.arellano@universidad.edu.mx,veronica193@outlook.com,5562379280,07/05/2025,Ingeniería en Mecatrónica,IMC-09,4,Sí,1,No,NA,Beca de colegiatura,8.1,NA,En residencia estudiantil,2,"$15,001-$25,000",Padre,Sí,11,Sí,Trabajo propio,No,NA,825,No,Ninguno,Preparatoria,Licenciatura,No,Sí,Sí,Sí,Sí
AL20221537,Cruz,Reyes,Juan Pablo,juan.cruz@universidad.edu.mx,juan.cruz@gmail.com,5681883543,19/06/2025,Licenciatura en Diseño Gráfico,LDG-08,6,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con pareja,5,"$5,001-$10,000",Madre,Sí,4,No,Apoyo familiar,Sí,"Beca por mérito deportivo, $4,000",264,Sí,Sí a ambos,Secundaria,Primaria,Sí,No,Sí,Sí,Sí
AL20256425,Estrada,Rosales,Valeria,al20256425@universidad.edu.mx,valeria.estrada330@gmail.com,5549333391,03/04/2025,Licenciatura en Contaduría Pública,LCP-03,2,Sí,2,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Solo/a,4,"$15,001-$25,000",Otro familiar,Sí,30,Sí,Crédito educativo,No,NA,1564,Sí,Sí a ambos,Secundaria,Secundaria,Sí,No,Sí,Sí,Sí
AL20256009,Vargas,Ortiz,Diana Paola,al20256009@universidad.edu.mx,diana119@gmail.com,9968911491,11/05/2025,Licenciatura en Mercadotecnia,LMK-07,1,Sí,1,No,NA,Beca de colegiatura,7.8,NA,Con otros familiares,3,"$5,001-$10,000",Otro familiar,No,NA,NA,Apoyo familiar,No,NA,593,No,Sí a ambos,Secundaria,Primaria,Sí,Sí,Sí,Sí,Sí
AL20248637,Zavala,Ríos,Rocío,al20248637@universidad.edu.mx,rocio.zavala@hotmail.com,6165688142,04/05/2025,Ingeniería Industrial,IIN-06,5,Sí,2,Sí,Laboral,Beca de colegiatura,7.8,NA,Solo/a,1,"$5,001-$10,000",Padre,No,NA,NA,"Apoyo familiar, Apoyo gubernamental",No,NA,141,No,Sí a ambos,Primaria,Preparatoria,No,No,Sí,Sí,Sí
AL20256535,Molina,Velázquez,Kevin,al20256535@universidad.edu.mx,kevin_molina@gmail.com,5557044948,19/01/2025,Ingeniería en Sistemas Computacionales,ISC-01,3,Sí,1,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$15,001-$25,000",Madre,Sí,4,Sí,Trabajo propio,No,NA,495,No,Solo internet,Preparatoria,Preparatoria,Sí,No,No,Sí,No
AL20259153,Soto,Valencia,Fernando,al20259153@universidad.edu.mx,fernandosoto@hotmail.com,5623444796,19/05/2025,Licenciatura en Derecho,LDE-04,3,Sí,2,Sí,Personal/Familiar,Beca de colegiatura,7.0,NA,Con padres o tutores,4,"$5,001-$10,000",Padre,Sí,31,No,"Apoyo familiar, Trabajo propio",Sí,"Apoyo de fundación privada, $3,500",1100,No,Sí a ambos,Licenciatura,Preparatoria,No,Sí,Sí,Sí,Sí
AL20233647,Arellano,León,Teresa,al20233647@universidad.edu.mx,teresa_arellano@outlook.com,9968864501,11/01/2025,Ingeniería en Sistemas Computacionales,ISC-01,8,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Solo/a,1,"$15,001-$25,000",Otro familiar,Sí,5,No,"Apoyo familiar, Trabajo propio",No,NA,1469,No,Sí a ambos,Licenciatura,Sin estudios,No,Sí,Sí,Sí,Sí
AL20248648,Flores,González,María José,maria.flores@universidad.edu.mx,mariaflores@hotmail.com,6176710939,25/01/2025,Licenciatura en Diseño Gráfico,LDG-08,1,Sí,3,Sí,Académica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$10,001-$15,000",Padre,Sí,32,No,"Apoyo familiar, Trabajo propio",Sí,"Beca académica de preparatoria, $800",33,Sí,Solo internet,Primaria,Secundaria,Sí,No,Sí,Sí,Sí
AL20252960,Coronado,Cedillo,Irma,al20252960@universidad.edu.mx,irma.coronado354@outlook.com,2256177985,29/06/2025,Licenciatura en Enfermería,LEN-10,2,No,NA,No,NA,Beca de colegiatura,8.3,NA,Con padres o tutores,5,"$10,001-$15,000",Padre,No,NA,NA,"Apoyo familiar, Apoyo gubernamental",No,NA,664,No,Solo computadora,Primaria,Secundaria,Sí,Sí,Sí,Sí,Sí
AL20237288,Vargas,Hernández,José Luis,al20237288@universidad.edu.mx,jose.vargas176@gmail.com,6172638737,15/06/2025,Licenciatura en Administración de Empresas,LAE-02,8,No,NA,No,NA,Beca de colegiatura,8.0,NA,Con padres o tutores,4,"$5,001-$10,000",Madre,No,NA,NA,"Apoyo familiar, Trabajo propio",No,NA,396,No,Sí a ambos,Secundaria,Secundaria,Sí,Sí,Sí,Sí,No
AL20238487,Acosta,Montes,Alan,al20238487@universidad.edu.mx,alan.acosta@hotmail.com,5543061241,11/02/2025,Ingeniería en Sistemas Computacionales,ISC-01,8,Sí,2,Sí,Económica,Beca de colegiatura,7.9,NA,Con padres o tutores,4,"$15,001-$25,000",Padre,No,NA,NA,Apoyo familiar,No,NA,353,Sí,Sí a ambos,Preparatoria,Primaria,Sí,No,Sí,Sí,Sí
AL20218402,Morales,Carmona,Diego,diego.morales@universidad.edu.mx,diego.morales@gmail.com,2257144683,15/05/2025,Licenciatura en Derecho,LDE-04,11,No,NA,No,NA,Beca de colegiatura,8.1,NA,Con otros familiares,2,"Menos de $5,000",El propio estudiante,Sí,35,Sí,Crédito educativo,No,NA,1043,Sí,Solo internet,Secundaria,Licenciatura,No,Sí,Sí,Sí,Sí
AL20234053,Zavala,Ríos,Erika,al20234053@universidad.edu.mx,erika695@gmail.com,3379541866,26/03/2025,Ingeniería en Mecatrónica,IMC-09,5,Sí,3,Sí,Económica,Beca de colegiatura,7.8,NA,Solo/a,6,"$5,001-$10,000",Padre,No,NA,NA,"Apoyo familiar, Beca de otra institución",No,NA,1387,No,Ninguno,Secundaria,Preparatoria,No,No,Sí,Sí,Sí
AL20230784,Campos,Ruiz,Jesús,jesus.campos@universidad.edu.mx,jesuscampos@gmail.com,5572121397,26/02/2025,Ingeniería en Sistemas Computacionales,ISC-01,6,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$10,001-$15,000",Padre,No,NA,NA,"Apoyo familiar, Beca de otra institución",No,NA,669,Sí,Sí a ambos,Primaria,Primaria,No,No,Sí,Sí,Sí
AL20243976,Lara,Pacheco,Brandon,brandon.lara@universidad.edu.mx,brandon.lara@gmail.com,6182184871,08/06/2025,Licenciatura en Administración de Empresas,LAE-02,1,Sí,1,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,5,"$5,001-$10,000",Madre,Sí,18,Sí,"Apoyo familiar, Ahorro",No,NA,704,No,Solo computadora,Primaria,Secundaria,Sí,Sí,Sí,Sí,Sí
AL20239469,Arellano,Domínguez,Ramón,ramon.arellano@universidad.edu.mx,ramon.arellano76@gmail.com,9936918449,23/02/2025,Licenciatura en Administración de Empresas,LAE-02,7,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Solo/a,3,"Más de $25,000",Padre,No,NA,NA,Apoyo familiar,No,NA,796,No,Solo computadora,Secundaria,Sin estudios,No,Sí,Sí,Sí,Sí
AL20251260,Serrano,Díaz,Yolanda,yolanda.serrano@universidad.edu.mx,yolanda905@gmail.com,3391880949,26/05/2025,Licenciatura en Administración de Empresas,LAE-02,2,Sí,1,Sí,Laboral,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,5,"$10,001-$15,000",Madre,Sí,30,No,"Apoyo familiar, Trabajo propio",No,NA,493,Sí,Sí a ambos,Licenciatura,Licenciatura,No,Sí,Sí,Sí,Sí
AL20248025,Arellano,Rosales,Leticia,leticia.arellano@universidad.edu.mx,leticia82@hotmail.com,5514797714,24/05/2025,Licenciatura en Contaduría Pública,LCP-03,4,No,NA,No,NA,Beca de colegiatura,8.9,NA,Con padres o tutores,4,"$10,001-$15,000",El propio estudiante,Sí,26,No,"Apoyo familiar, Trabajo propio",Sí,"Beca sindical, $1,800",115,No,Ninguno,Licenciatura,Primaria,No,Sí,Sí,Sí,No
AL20253686,Domínguez,Salazar,Carmen,al20253686@universidad.edu.mx,carmen.dominguez222@gmail.com,5692425234,12/05/2025,Licenciatura en Contaduría Pública,LCP-03,3,Sí,1,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,2,"$5,001-$10,000",Padre,Sí,29,No,Apoyo gubernamental,No,NA,918,Sí,Sí a ambos,Secundaria,Licenciatura,No,Sí,Sí,Sí,No
AL20241452,Alvarado,Gutiérrez,Irma,al20241452@universidad.edu.mx,irmaalvarado@gmail.com,8169463910,26/05/2025,Licenciatura en Contaduría Pública,LCP-03,4,Sí,3,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$5,001-$10,000",El propio estudiante,Sí,31,No,"Apoyo familiar, Ahorro",Sí,"Apoyo de gobierno estatal, $2,000",1525,Sí,Solo computadora,Primaria,Primaria,Sí,No,No,Sí,Sí
AL20233342,Estrada,Hernández,Isabel,al20233342@universidad.edu.mx,isabel_estrada@gmail.com,5538591368,02/06/2025,Licenciatura en Psicología,LPS-05,6,Sí,1,No,NA,Beca de colegiatura,8.5,NA,Con padres o tutores,4,"$10,001-$15,000",Tutor,Sí,19,No,"Apoyo familiar, Trabajo propio",No,NA,427,No,Solo internet,Preparatoria,Posgrado,No,Sí,Sí,Sí,Sí
AL20236449,Aguilar,Orozco,Ramón,ramon.aguilar@universidad.edu.mx,ramon401@gmail.com,8177239988,11/02/2025,Ingeniería Industrial,IIN-06,6,Sí,1,Sí,Personal/Familiar,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$10,001-$15,000",Madre,Sí,31,No,"Apoyo familiar, Trabajo propio",Sí,"Beca eclesiástica, $1,000",1647,No,Sí a ambos,Licenciatura,Primaria,No,Sí,No,Sí,Sí
AL20243093,Lara,Mata,Víctor,victor.lara@universidad.edu.mx,victor687@gmail.com,6137321872,09/05/2025,Licenciatura en Contaduría Pública,LCP-03,4,Sí,2,Sí,Económica,Beca de colegiatura,8.5,NA,Con otros familiares,2,"$5,001-$10,000",Madre,Sí,39,Sí,Trabajo propio,Sí,"Beca Benito Juárez, $2,575",753,No,Solo internet,Secundaria,Preparatoria,No,Sí,Sí,Sí,No
AL20241306,Hernández,Martínez,Adriana,al20241306@universidad.edu.mx,adriana315@hotmail.com,5513684919,12/02/2025,Ingeniería Industrial,IIN-06,5,No,NA,No,NA,Beca de colegiatura,8.9,NA,Con padres o tutores,3,"$5,001-$10,000",Padre,Sí,31,No,Trabajo propio,No,NA,502,No,Sí a ambos,Secundaria,Preparatoria,Sí,Sí,Sí,Sí,Sí
AL20248451,Villanueva,Vázquez,Susana,al20248451@universidad.edu.mx,susana.villanueva318@hotmail.com,3333801912,23/05/2025,Licenciatura en Derecho,LDE-04,4,Sí,2,Sí,Económica,Beca de colegiatura,7.0,NA,Con padres o tutores,4,"Menos de $5,000",Padre,Sí,17,No,"Trabajo propio, Apoyo gubernamental",No,NA,475,Sí,Solo internet,Sin estudios,Secundaria,Sí,No,Sí,Sí,Sí
AL20235319,Muñoz,Moreno,Diego Armando,diego.munoz@universidad.edu.mx,diego.munoz819@hotmail.com,4448711886,03/05/2025,Licenciatura en Derecho,LDE-04,7,Sí,1,Sí,Económica,Beca de colegiatura,7.4,NA,Solo/a,6,"Menos de $5,000",Padre,Sí,35,No,Apoyo familiar,No,NA,957,Sí,Solo computadora,Primaria,Secundaria,Sí,No,Sí,Sí,Sí
AL20230998,Vázquez,Cortés,María Fernanda,maria.vazquez@universidad.edu.mx,maria.vazquez@outlook.com,3324436236,15/01/2025,Licenciatura en Derecho,LDE-04,6,No,NA,No,NA,Beca de transporte,NA,44160,Solo/a,1,"$10,001-$15,000",Madre,No,NA,NA,Apoyo familiar,Sí,"Beca municipal, $1,500",1446,No,Solo internet,Posgrado,Sin estudios,No,Sí,Sí,Sí,Sí
AL20225544,Flores,Moreno,Salvador,al20225544@universidad.edu.mx,salvador.flores260@gmail.com,5682626297,26/02/2025,Licenciatura en Psicología,LPS-05,7,No,NA,Sí,Personal/Familiar,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$10,001-$15,000",Padre,No,NA,NA,"Apoyo familiar, Beca de otra institución",No,NA,344,No,Solo internet,Sin estudios,Primaria,No,No,Sí,Sí,Sí
AL20252536,Ríos,Peña,Adriana,adriana.rios@universidad.edu.mx,adrianarios@outlook.com,2297010084,19/02/2025,Licenciatura en Administración de Empresas,LAE-02,2,Sí,2,No,NA,Beca de inscripción/reinscripción,NA,NA,Solo/a,3,"Más de $25,000",Padre,Sí,26,No,"Apoyo familiar, Trabajo propio",Sí,"Beca SEP, $2,200",155,No,Sí a ambos,Primaria,Licenciatura,No,Sí,Sí,Sí,Sí
AL20246484,Cruz,Medina,Cecilia,al20246484@universidad.edu.mx,cecilia_cruz@gmail.com,5526305831,14/03/2025,Licenciatura en Mercadotecnia,LMK-07,5,No,NA,Sí,Personal/Familiar,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$10,001-$15,000",Madre,Sí,29,Sí,"Trabajo propio, Apoyo gubernamental",No,NA,2045,Sí,Solo internet,Licenciatura,Preparatoria,No,No,Sí,No,Sí
AL20237759,Romero,Villanueva,Felipe,felipe.romero@universidad.edu.mx,felipe.romero@gmail.com,3342248096,07/06/2025,Ingeniería Industrial,IIN-06,8,No,NA,Sí,Personal/Familiar,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"Menos de $5,000",Madre,Sí,15,No,"Apoyo familiar, Trabajo propio, Ahorro",Sí,"Beca SEP, $2,200",708,Sí,Solo internet,Preparatoria,Primaria,No,No,No,Sí,Sí
AL20236594,Molina,Silva,Marco Antonio,al20236594@universidad.edu.mx,marcomolina@gmail.com,8133621030,01/04/2025,Licenciatura en Administración de Empresas,LAE-02,4,No,NA,No,NA,Beca de colegiatura,9.1,NA,Con padres o tutores,4,"$5,001-$10,000",Tutor,No,NA,NA,Apoyo familiar,No,NA,491,No,Ninguno,Primaria,Primaria,No,No,Sí,Sí,No
AL20236861,Trejo,Benítez,Adriana,adriana.trejo@universidad.edu.mx,adriana.trejo@hotmail.com,3390071010,19/03/2025,Licenciatura en Derecho,LDE-04,6,Sí,1,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$15,001-$25,000",Padre,Sí,25,No,Trabajo propio,No,NA,123,No,Sí a ambos,Preparatoria,Licenciatura,No,Sí,Sí,Sí,Sí
AL20251799,Cortés,Ibarra,Manuel,al20251799@universidad.edu.mx,manuel.cortes@gmail.com,3328974901,27/05/2025,Licenciatura en Diseño Gráfico,LDG-08,2,Sí,1,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,8+,"$5,001-$10,000",Tutor,Sí,35,Sí,Apoyo familiar,No,NA,98,Sí,Sí a ambos,Sin estudios,Preparatoria,No,Sí,Sí,Sí,Sí
AL20249262,Cedillo,Cervantes,Juan Carlos,al20249262@universidad.edu.mx,juan.cedillo@gmail.com,6199028503,06/02/2025,Ingeniería Industrial,IIN-06,2,No,NA,Sí,Laboral,Beca de inscripción/reinscripción,NA,NA,Con pareja,1,"Más de $25,000",Otro familiar,Sí,22,No,"Apoyo familiar, Trabajo propio, Ahorro",No,NA,1535,Sí,Sí a ambos,Secundaria,Preparatoria,Sí,Sí,Sí,Sí,No
AL20237116,Martínez,Ibarra,Cecilia,al20237116@universidad.edu.mx,cecilia204@gmail.com,3317348688,05/03/2025,Licenciatura en Psicología,LPS-05,6,Sí,1,No,NA,Beca de transporte,NA,64530,Solo/a,6,"Menos de $5,000",Padre,Sí,21,No,"Apoyo familiar, Trabajo propio",No,NA,1677,Sí,Sí a ambos,Secundaria,Licenciatura,No,Sí,Sí,Sí,No
AL20256076,Mejía,Rosales,Ana Sofía,al20256076@universidad.edu.mx,ana.mejia@gmail.com,3329148832,15/01/2025,Licenciatura en Derecho,LDE-04,2,Sí,2,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Solo/a,6,"Menos de $5,000",El propio estudiante,Sí,26,No,Apoyo familiar,No,NA,993,Sí,Solo computadora,Secundaria,Secundaria,Sí,No,Sí,Sí,Sí
AL20214501,Romero,Galindo,Isabel,isabel.romero@universidad.edu.mx,isabelromero@gmail.com,9917785204,07/01/2025,Licenciatura en Administración de Empresas,LAE-02,11,No,NA,Sí,Otra,Beca de inscripción/reinscripción,NA,NA,Solo/a,4,"$5,001-$10,000",Padre,Sí,14,Sí,Trabajo propio,No,NA,14,Sí,Sí a ambos,Secundaria,Licenciatura,No,Sí,Sí,Sí,Sí
AL20246268,Montes,Cardenas,Lucía,al20246268@universidad.edu.mx,lucia_montes@gmail.com,3344846349,08/01/2025,Licenciatura en Psicología,LPS-05,4,Sí,1,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,4,"$5,001-$10,000",El propio estudiante,Sí,38,No,"Apoyo familiar, Trabajo propio",Sí,"Beca Benito Juárez, $2,575",126,Sí,Solo computadora,Primaria,Primaria,No,No,Sí,Sí,Sí
AL20219960,Núñez,Cortés,Mateo,mateo.nunez@universidad.edu.mx,mateo.nunez@gmail.com,5593159051,15/02/2025,Licenciatura en Administración de Empresas,LAE-02,11,No,NA,No,NA,Beca de colegiatura,8.8,NA,Con padres o tutores,5,"$15,001-$25,000",Madre,Sí,39,No,"Apoyo familiar, Trabajo propio",Sí,"Beca por mérito deportivo, $4,000",56,No,Sí a ambos,Secundaria,Sin estudios,Sí,Sí,Sí,Sí,Sí
AL20249632,Téllez,Gómez,Susana,al20249632@universidad.edu.mx,susana.tellez247@gmail.com,5633503548,03/05/2025,Licenciatura en Contaduría Pública,LCP-03,5,Sí,1,No,NA,Beca de colegiatura,7.9,NA,Con padres o tutores,4,"$10,001-$15,000",Padre,No,NA,NA,"Apoyo familiar, Beca de otra institución",Sí,"Jóvenes Escribiendo el Futuro, $2,575",505,No,Sí a ambos,Preparatoria,Secundaria,Sí,Sí,Sí,Sí,No
AL20221558,Navarro,Vázquez,Ricardo,ricardo.navarro@universidad.edu.mx,ricardo.navarro@hotmail.com,2289011374,12/06/2025,Licenciatura en Administración de Empresas,LAE-02,9,No,NA,Sí,Personal/Familiar,Beca de transporte,NA,09080,Con padres o tutores,3,"$15,001-$25,000",El propio estudiante,Sí,25,Sí,"Trabajo propio, Ahorro",No,NA,1422,Sí,Sí a ambos,Secundaria,Licenciatura,No,Sí,Sí,Sí,Sí
AL20253732,León,Martínez,José Manuel,al20253732@universidad.edu.mx,jose.leon65@gmail.com,5661945152,12/03/2025,Licenciatura en Contaduría Pública,LCP-03,3,Sí,1,Sí,Laboral,Beca de inscripción/reinscripción,NA,NA,Solo/a,4,"Menos de $5,000",Padre,No,NA,NA,"Apoyo familiar, Beca de otra institución",No,NA,274,Sí,Solo internet,Secundaria,Primaria,Sí,Sí,Sí,Sí,Sí
AL20240598,Bautista,Téllez,Alan,alan.bautista@universidad.edu.mx,alan_bautista@gmail.com,2289964154,27/06/2025,Ingeniería Industrial,IIN-06,5,Sí,1,Sí,Económica,Beca de transporte,NA,44400,Con padres o tutores,4,"Menos de $5,000",Otro familiar,Sí,10,No,"Apoyo familiar, Trabajo propio",No,NA,1492,Sí,Solo computadora,Preparatoria,Secundaria,No,Sí,No,Sí,Sí
AL20238888,Aguilar,Gómez,Valentina,valentina.aguilar@universidad.edu.mx,valentina_aguilar@gmail.com,9913901405,11/03/2025,Ingeniería en Mecatrónica,IMC-09,4,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Solo/a,5,"$5,001-$10,000",Madre,Sí,19,No,"Apoyo familiar, Trabajo propio",No,NA,1315,Sí,Solo computadora,Preparatoria,Primaria,Sí,Sí,Sí,Sí,No
AL20239135,Medina,Torres,Laura Patricia,al20239135@universidad.edu.mx,laura.medina@outlook.com,4448042271,08/05/2025,Ingeniería en Sistemas Computacionales,ISC-01,7,No,NA,No,NA,Beca de colegiatura,9.8,NA,Con otros familiares,5,"$10,001-$15,000",Padre,Sí,41,Sí,"Apoyo familiar, Trabajo propio",No,NA,1111,No,Sí a ambos,Primaria,Secundaria,Sí,No,Sí,Sí,No
AL20256461,Castro,Figueroa,Santiago,santiago.castro@universidad.edu.mx,santiago.castro@gmail.com,5614417122,22/05/2025,Licenciatura en Psicología,LPS-05,2,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$15,001-$25,000",Padre,No,NA,NA,"Apoyo familiar, Beca de otra institución",Sí,"Beca Benito Juárez, $2,575",1060,Sí,Solo internet,Secundaria,Secundaria,Sí,Sí,No,Sí,No
AL20229480,Flores,Castro,Oscar,al20229480@universidad.edu.mx,osca852@gmail.com,2269626391,09/02/2025,Licenciatura en Psicología,LPS-05,8,No,NA,No,NA,Beca de transporte,NA,54130,Con padres o tutores,4,"Menos de $5,000",Padre,Sí,4,No,"Apoyo familiar, Ahorro",No,NA,1509,No,Sí a ambos,Preparatoria,Preparatoria,Sí,No,Sí,Sí,Sí
AL20245869,Mendoza,Alvarado,Ximena,al20245869@universidad.edu.mx,ximena.mendoza992@gmail.com,6159146107,05/05/2025,Licenciatura en Mercadotecnia,LMK-07,4,Sí,2,No,NA,Beca de colegiatura,7.0,NA,Con padres o tutores,1,"$10,001-$15,000",Madre,Sí,19,No,"Trabajo propio, Ahorro",No,NA,800,Sí,Sí a ambos,Preparatoria,Sin estudios,Sí,Sí,Sí,Sí,Sí
AL20240884,Fuentes,León,Nayeli,nayeli.fuentes@universidad.edu.mx,nayfue@gmail.com,3386199756,27/05/2025,Licenciatura en Derecho,LDE-04,1,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$5,001-$10,000",Madre,Sí,20,No,"Apoyo familiar, Trabajo propio",No,NA,832,No,Sí a ambos,Secundaria,Sin estudios,Sí,Sí,Sí,Sí,Sí
AL20244432,Pacheco,Palacios,Ana Karen,ana.pacheco@universidad.edu.mx,ana.pacheco@gmail.com,8180070192,31/01/2025,Licenciatura en Mercadotecnia,LMK-07,2,Sí,4,No,NA,Beca de colegiatura,8.3,NA,Con padres o tutores,3,"$5,001-$10,000",Tutor,Sí,18,No,Apoyo gubernamental,No,NA,1694,No,Sí a ambos,Preparatoria,Posgrado,No,No,Sí,Sí,Sí
AL20238389,Rodríguez,Silva,Dulce,al20238389@universidad.edu.mx,dulce271@gmail.com,6116101766,20/01/2025,Licenciatura en Administración de Empresas,LAE-02,8,Sí,1,No,NA,Beca de transporte,NA,53200,Con padres o tutores,4,"$15,001-$25,000",El propio estudiante,Sí,29,Sí,"Apoyo familiar, Trabajo propio",Sí,"Apoyo de gobierno estatal, $2,000",2189,No,Solo computadora,Primaria,Posgrado,No,Sí,Sí,Sí,No
AL20250488,Villanueva,Sandoval,Karla Ivonne,karla.villanueva@universidad.edu.mx,villanueva.ka@gmail.com,5649815044,24/02/2025,Licenciatura en Derecho,LDE-04,2,Sí,3,Sí,Académica,Beca de colegiatura,8.6,NA,Con padres o tutores,2,"Más de $25,000",Otro familiar,No,NA,NA,"Apoyo familiar, Beca de otra institución",Sí,"Beca de empresa donde trabajo, $2,500",209,Sí,Sí a ambos,Primaria,Sin estudios,Sí,No,Sí,Sí,No
AL20224685,Hernández,Cardenas,Lucía,al20224685@universidad.edu.mx,lucia28@gmail.com,3344478588,15/06/2025,Licenciatura en Contaduría Pública,LCP-03,7,No,NA,Sí,Económica,Beca de transporte,NA,53370,Con padres o tutores,6,"$10,001-$15,000",El propio estudiante,Sí,33,No,"Apoyo familiar, Trabajo propio",No,NA,1282,Sí,Ninguno,Primaria,Licenciatura,No,Sí,Sí,Sí,Sí
AL20230386,Rangel,Villarreal,Víctor,al20230386@universidad.edu.mx,vict388@gmail.com,5551061238,31/05/2025,Licenciatura en Psicología,LPS-05,6,No,NA,No,NA,Beca de colegiatura,7.1,NA,Con padres o tutores,3,"Más de $25,000",Padre,No,NA,NA,Apoyo familiar,No,NA,680,No,Sí a ambos,Primaria,Secundaria,Sí,No,Sí,Sí,No
AL20252718,Velázquez,Mata,María José,maria.velazquez@universidad.edu.mx,maria_velazquez@gmail.com,5577871987,03/06/2025,Licenciatura en Administración de Empresas,LAE-02,3,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$10,001-$15,000",Madre,No,NA,NA,Apoyo familiar,No,NA,458,No,Sí a ambos,Preparatoria,Preparatoria,Sí,Sí,Sí,Sí,Sí
