SID,NOMBRE,FECHA_NAC,GENERO,CURP,FECHA_ACT
2929,Alan Kevin Espinoza Moreno,1992-03-02,M,EIMA920302HDFSRL92,08 Oct 2024
2930,Mateo Medina Soto,1991-10-22,M,MESM911022HDFDTT69,2024-11-25
2931,Alejandro Daniel Camacho Ortiz,1999-04-21,M,CAOA990421HDFMRL49,2024-10-31
2932,Omar Gutiérrez Torres,22/01/1998,M,GUTO980122HMCTRM18 ,2024-11-04
2933,Carmen Zavala López,2004-09-12,F,ZALC040912MMCVPR94,2025-02-06
2934,María Gabriela González Salazar,1990-08-22,F,GOSM900822MDFNLR08,2025-02-17
2935,HUGO RANGEL ORTIZ,2004-07-07,M,RAOH040707HDFNRG14,2024-08-11
2936,Roberto Aguilar Cruz,2003-05-26,M,AUCR030526HDFGRB40,2024-12-23
2937,Rafael Trejo Carmona,2002-06-13,M,TECR020613HDFRRF71,2024-09-28
2938,Nayeli González Cortés,1986-02-06,F,GOCN860206MMCNRY51,2024-11-29
2939,Néstor Molina Ramírez,1994-10-19,M,MORN941019HDFLMS42,2024-11-14
2940,Martha Martínez Guerrero,2004-10-28,F,MAGM041028MMCRRR38,2024-08-15
2941,Víctor Téllez González,2006-09-22,M,TEGV060922HDFLNC85,2024-08-07
2942,Natalia Muñoz Delgado,1994-10-08,F,MUDN941008MDFZLT62,2024-08-31
2943,Itzel Cabrera Zavala,06-11-1994,F,CAZI941106MVZBVT06,2024-08-17
2944,Valentina Téllez Velázquez,2005-04-01,F,TEVV050401MDFLLL02,2024-08-16
2945,Valeria Torres Torres,1996-01-09,F,TOTV960109MDFRRL63,2025-01-19
2946,César Herrera Jiménez,2006-07-12,M,HEJC060712HDFRMS48,2024-09-25
2947,Rosa González Suárez,1995-01-18,F,GOSR950118MMCNRS24,2024-10-12
2948,Sofía Cervantes Martínez,2002-10-24,F,CEMS021024MDFRRF70,2025-02-26
2949,Daniel Jesús Delgado Gómez,2004-11-04,M,DEGD041104HMCLMN22,2025-02-03
2950,Gabriel Arturo Orozco Moreno,1985-11-23,M,OOMG851123HMCRRB57,2024-08-16
2951,Manuel Romero Medina,1994-10-10,M,ROMM941010HMCMDN95,2025-02-27
2952,Yolanda  Orozco  Rangel,1994-08-27,F,OORY940827MDFRNL42,2025-02-06
2953,Sofía López Contreras,1994-01-06,F,LECS940106MDFPNF54,2024-11-05
2954,Isabel Gutiérrez Camacho,2006-01-14,F,GUCI060114MDFTMS14,2024-08-04
2955,Camila Soto Palacios,1987-04-09,F,SOPC870409MDFTLM11,2024-10-17
2956,Armando Camacho Carmona,2000-07-27,M,CACA000727HMCMRR46,2025-01-07
2957,Juan Rivera Domínguez,1995-03-24,M,RIDJ950324HMCVMN57,2024-11-10
2958,Arturo Gutiérrez Ríos,1997-05-01,M,GURA970501HDFTSR12,2024-09-04
2959,César Héctor Estrada Jiménez,1993-10-06,M,EAJC931006HMCSMS23,2024-11-28
2960,EMILIO GONZÁLEZ SÁNCHEZ,2005-05-17,M,GOSE050517HDFNNM16,2024-11-20
2961,Lucía Gutiérrez Ortiz,2000-08-20,F,GUOL000820MMCTRC89,2025-02-21
2962,Andrea Martínez Núñez,1999-09-06,F,MANA990906MMCRZN04,2025-01-22
2963,Leonardo Alan Salazar Sánchez,1986-12-22,M,SASL861222HDFLNN52,2024-09-14
2964,Cristian Medina Espinoza,2000-10-11,Masculino,MEEC001011HDFDSR70,2024-11-01
2965,Beatriz Molina Mendoza,1993-07-11,F,MOMB930711MDFLNT66,2024-11-09
2966,Emilio González Espinoza,1987-10-31,M,GOEE871031HMCNSM39,02/03/2025
2967,Paola León Guerrero,2003-12-16,F,LEGP031216MDFNRL05,2024-08-15
2968,Brenda Sofía Suárez González,1995-03-12,F,SUGB950312MDFRNR60,2024-09-10
2969,Erick Ríos Campos,2006-10-04,M,ROCE061004HDFSMR57,2024-10-17
2970,Cecilia Estrada Gutiérrez,2001-11-30,F,EAGC011130MDFSTC35,2024-12-14
2971,Montserrat Reyes Rivera,2001-12-27,F,RERM011227MDFYVN76,2024-09-13
2972,Montserrat Lara Suárez,1998-01-03,F,LASM980103MMCRRN45,2024-08-08
2973,Emilio Contreras Aguilar,1995-08-08,M,COAE950808HDFNGM58,2024-09-06
2974,Martha Karla Lara Jiménez,1989-01-27,F,LAJM890127MDFRMR63,2024-12-10
2975,Martha Díaz Morales,1999-12-19,F,DAMM991219MMCZRR74,2024-11-11
2976,Guadalupe Espinoza Reyes,2003-09-18,F,EIRG030918MDFSYD49,2024-09-09
2977,Javier Delgado Rojas,1986-07-18,M,PENDIENTE,2024-11-10
2978,Paola Medina Figueroa,1993-12-30,F,MEFP931230MDFDGL00,2024-12-23
2979,Patricia Catalina Domínguez Fuentes,2006-03-02,F,DOFP060302MDFMNT60,2024-09-13
2980,Rosa Trejo Rivera,1990-05-01,Masculino,TERR900501MDFRVS17,2025-02-20
2981,Susana Dulce Ibarra Domínguez,1994-03-02,F,IADS940302MMCBMS36,2024-08-21
2982,José Gómez Camacho,1995-12-04,M,GECJ951204HDFMMS22,2024-10-11
2983,Elena Ramos Martínez,2001-04-13,F,RAME010413MMCMRL15,2024-08-29
2984,Brenda Acosta Suárez,2000-05-01,F,AOSB000501MDFCRR25,2025-01-31
2985,Alan León Trejo,2002-08-11,M,LETA020811HMCNRL29,2024-11-21
2986,Martha Velázquez Zavala,1992-05-03,F,VEZM920503MDFLVR78,2024-12-31
2987,Gerardo Ortiz Medina,1995-05-29,M,OIMG950529HDFRDR19,2024-10-29
2988,Araceli Bautista Lara,1999-08-12,F,BALA990812MDFTRR76,2024-08-11
2989,Susana Espinoza Molina,04/14/1988,F,EIMS880414MDFSLS26,2025-01-14
2990,Antonio Velázquez Estrada,1994-06-22,M,VEEA940622HMCLSN87,2024-08-16
2991,Fernanda Fuentes Ibarra,26 May 1989,F,FUIF890526MDFNB,2024-08-15
2992,Jesús Vargas Fuentes,2002-06-16,M,VAFJ020616HMCRNS20,2024-11-06
2993,Gabriela Rangel Rosales,1995-05-01,F,RARG950501MDFNSB67,2024-10-02
2994,Rafael Morales Cabrera,2006-05-17,M,MOCR060517HDFRBF67,2024-08-31
2995,Jessica Jiménez Orozco,1996-06-05,F,JIOJ960605MDFMRS28,2024-10-13
2996,Néstor Castro Ortiz,2003-11-28,M,CAON031128HDFSRS47,2024-08-02
2997,Cristian Cabrera Camacho,1988-02-15,M,CACC880215HDFBMR78,2024-11-17
2998,DANIEL DÍAZ ROSALES,2004-03-27,M,DARD040327HMCZSN73,2024-12-30
2999,Rocío Campos Ruiz,1991-11-18,F,CARR911118MDFMZC06,2025-01-24
3000,Rosa Catalina González Silva,31-12-2001,F,GOSR011231MDFNLS83,2024-10-27
3001,Sebastián Mateo Muñoz Molina,1989-01-03,M,MUMS890103HDFZLB06,2024-12-16
3002,Miguel Suárez Rosales,1986-03-27,M,SURM860327HDFRSG64,2024-10-18
3003,MARIO NÚÑEZ ACOSTA,1989-07-23,M,NEAM890723HDFZCR42,2024-08-14
3004,Monica Vanessa Álvarez Mendoza,2004-09-09,F,AAMM040909MNELNN66,2024-10-25
3005,Patricia Martha Lara Carmona,1991-12-31,F,LACP911231MDFRRT38,2024-12-11
3006,Raúl Rangel Ortiz,1993-02-15,M,RAOR930215HDFNRL16,2024-09-24
3007,Renata Camacho Ortiz,1990-04-22,F,CAOR900422MMCMRN11,2024-11-24
3008,Iván Espinoza Gutiérrez,09/07/2001,M,EIGI010709HDFSTV05,2024-12-10
3009,Erick Erick Moreno Molina,1991-09-08,M,MOME910908HDFRLR37,2024-11-12
3010,Gabriela Reyes Castro,2006-09-06,F,RECG060906MDFYSB50,2024-11-06
3011,Ximena Medina Lara,1991-07-19,F,MELX910719MDFDRM74,2024-10-04
3012,Ximena Flores Sandoval,1994-04-27,F,FOSX940427MDFLNM99,2024-10-25
3013,Yolanda Orozco Sánchez,1999-04-03,F,OOSY990403MDFRNL54,2025-01-05
3014,Emilio Navarro Vargas,2006-03-04,M,NAVE060304HDFVRM50,2024-09-27
3015,KARLA ROJAS GUERRERO,1986-07-05,F,ROGK860705MDFJRR19,2024-09-08
3016,Valentina Castillo Díaz,1985-05-31,F,CADV850531MDFSZL37,2024-12-30
3017,brandon acosta contreras,2006-11-08,M,AOCB061108HDFCNR37,2024-08-08
3018,Pablo Álvarez Ruiz,1991-05-13,M,AARP910513HMCLZB14,2025-02-25
3019,Héctor Jiménez Rodríguez,1993-09-09,M,JIRH930909HMCMDC99,2024-12-19
3020,Mateo Bautista Torres,1987-07-16,M,BATM870716HDFTRT52,2024-10-10
3021,Paola Díaz Téllez,2006-01-29,F,DATP060129MNEZLL07,2024-08-10
3022,Diana Gutiérrez Palacios,1998-03-08,F,GUPD980308MDFTLN63,2024-10-13
3023,Valeria Suárez Valencia,1987-04-05,F,SUVV870405MMCRLL01,2024-12-24
3024,Mariana Jiménez Espinoza,1989-05-20,F,JIEM890520MMCMSR08,2024-11-23
3025,Héctor Carlos Figueroa Torres,1991-08-04,M,FITH910804HMCGRC75,2024-11-01
3026,Martín Velázquez Rodríguez,2002-03-19,M,VERM020319HDFLDR81,2024-10-24
3027,Dulce Fuentes Ríos,2003-07-01,F,FURD030701MDFNSL56,2025-01-16
3028,Renata Mendoza Rojas,1991-06-28,F,MERR910628MDFNJN61,2024-10-20
3029,Natalia Nayeli Ruiz Jiménez,2002-09-12,F,RUJN020912MDFZMT13,2024-11-25
3030,Cecilia Ramos Morales,1997-03-27,F,RAMC970327MDFMRC63,2024-12-11
3031,Daniel Miguel Ramírez Ríos,2000-05-16,M,RARD000516HMCMSN88,2024-12-14
3032,Luis Salvador Medina Díaz,1985-02-18,M,MEDL850218HDFDZS78,14/08/2024
3033,Ramón Saúl Fuentes Domínguez,1997-11-27,M,FUDR971127HDFNMM48,2024-10-30
3034,Brenda Vargas Campos,1990-06-29,F,VACB900629MDFRMR07,2024-09-20
3035,Jessica Delgado Espinoza,2000-05-21,F,DEEJ000521MNELSS15,2024-11-02
3036,Raúl Ramos Velázquez,10/15/1991,M,RAVR911015HDFMLL32,2024-10-14
3037,VANESSA ROCÍO RIVERA RUIZ,1987-09-26,F,RIRV870926MDFVZN24,2024-08-02
3038,Armando Sergio Navarro Jiménez,1988-07-01,M,NAJA880701HDFVMR01,2024-12-24
3039,Carolina Carmen Aguilar Gómez,1985-09-05,F,AUGC850905MDFGMR18,2025-01-18
3040,Jesús Domínguez Cruz,2002-11-27,M,docj021127hdfmrs60,2024-11-03
3041,Roberto Soto Rangel,2004-02-07,M,SORR040207HMCTNB96,2025-02-11
3042,Cristian Suárez Molina,1999-12-12,M,SUMC991212HNERLR63,03-10-2024
3043,Lucía Campos Sandoval,1991-09-08,F,CASL910908MDFMNC16,2024-12-08
3044,Lucía Romero Contreras,1999-07-26,F,ROCL990726MDFMNC53,2024-10-26
3045,Verónica Cervantes Sandoval,2002-01-12,F,CESV020112MDFRNR17,2024-10-07
3046,Mónica Gómez Acosta,1995-12-13,F,GEAM951213MDFMCN43,2024-11-08
3047,tomás morales rodríguez,2001-06-04,M,MORT010604HDFRDM64,2024-08-08
3048,Erick Ruiz Mendoza,2006-03-25,M,RUME060325HDFZNR14,2025-02-28
3049,Néstor Brandon Ramos Cabrera,1994-01-06,M,RACN940106HDFMBS50,2024-12-05
3050,Alberto Ruiz Cortés,1999-12-29,M,RUCA991229HDFZRL67,2024-11-17
3051,Cecilia Ximena Vázquez Romero,1992-07-10,F,VURC920710MMCZMC54,2025-01-17
3052,Felipe Guerrero Ruiz,1992-06-04,M,GURF920604HDFRZL33,2024-09-15
3053,Montserrat Salazar Gutiérrez,1999-10-18,F,SAGM991018MDFLTN49,2024-11-18
3054,Isabel Brenda Salazar Lara,2003-10-06,,SALI031006MDFLRS00,2024-12-02
3055,Uriel León Navarro,1990-08-07,M,LENU900807HDFNVR14,2024-11-03
3056,Citlali Navarro Silva,1996-11-12,F,NASC961112MMCVLT33,03-08-2024
3057,Ariadna Zavala Ruiz,1996-05-20,F,ZARA960520MMCVZR43,2024-08-31
3058,Cesar Gonzalez Ruiz,1985-04-20,M,GORC850420HMCNZS45,2024-08-25
3059,Uriel Ramón González Palacios,1991-06-29,M,GOPU910629HDFNL,2025-01-02
3060,Alicia Molina Álvarez,1986-03-22,F,MOAA860322MDFLLL02,2024-12-16
3061,Erika Ramírez Delgado,1996-11-29,F,RADE961129MDFMLR96,2024-09-21
3062,Iván Torres González,1994-01-22,M,TOGI940122HMCRNV54,2024-10-16
3063,David Carlos Cabrera Trejo,2001-11-20,M,CATD011120HDFBRV84,2024-08-25
3064,Sofía Rojas Estrada,1999-06-07,F,ROES990607MDFJSF51,2025-02-07
3065,Enrique Trejo Espinoza,1999-02-09,M,TEEE990209HMCRSN11,2025-01-12
3066,Valentina Isabel Herrera Núñez,1988-04-21,F,HENV880421MDFRZL84,2024-10-30
3067,Juan Sandoval Mejía,1996-04-11,M,SAMJ960411HDFNJN70,2024-10-20
3068,Axel Santiago Medina Estrada,1989-06-18,M,MEEA890618HDFDSX63,2025-02-18
3069,Martín Alberto Díaz Núñez,2003-01-18,,DANM030118HDFZZR58,2024/11/24
3070,Francisco Martínez Pérez,1997-04-20,M,MAPF970420HDFRRR05,2025-02-14
3071,Raúl Romero Cabrera,1991-02-14,M,ROCR910214HDFMBL62,2024-08-21
3072,Raúl César Valencia Ramírez,1995-12-10,M,VARR951210HDFLML06,2024-11-23
3073,Alicia Brenda González Téllez,1987-09-05,F,GOTA870905MDFNLL14,2024-10-13
3074,Alan Navarro Orozco,1990-04-05,M,NAOA900405HDFVRL92,2024-08-20
3075,Adriana García Castillo,1998-11-10,F,GACA981110MDFRSD51,2024-12-26
3076,Omar Bautista Figueroa,2006-03-02,M,BAFO060302HDFTGM50,2024-12-20
3077,Pedro Valencia Rosales,2005-09-24,M,VARP050924HJCLSD57,2024-11-22
3078,Eduardo Hugo Cabrera Muñoz,2002-03-05,M,CAME020305HDFBZD23,2024-11-30
3079,Ramón Ramírez Suárez,1990-05-16,M,RASR900516HDFMRM00,2024-11-27
3080,Ricardo Enrique Orozco Lara,2005-01-13,M,OOLR050113HDFRRC11,2025-01-30
3081,Perla Catalina Ríos Zavala,1990-02-03,F,ROZP900203MDFSVR57,2024-11-17
,Perla Catalina Ríos Zavala,1990-02-03,F,ROZP900203MDFSVR57,2024-11-17
3082,Silvia Citlali Navarro Sánchez,1989-10-05,F,NASS891005MDFVNL37,2024-09-26
3083,Raquel Sofía Contreras Cervantes,2001-12-18,F,COCR011218MMCNRQ49,2024-11-18
3084,Juan Pérez Estrada,1986-09-18,M,PEEJ860918HMCRSN72,2025-01-21
3085,Rocío Norma Herrera Ruiz,2003-08-18,F,HERR030818MDFRZC33,2024-09-26
3086,Pedro García Ortiz,2005-04-22,M,GAOP050422HDFRRD25,2024-11-27
3087,Alicia Alejandra Ruiz López,2004-07-14,F,RULA040714MMCZPL66,2024-12-30
3088,Raúl Javier Palacios Medina,2002-12-07,M,PAMR021207HDFLDL21,2024-09-18
3089,Daniela Zavala Cabrera,1988-01-20,F,ZACD880120MDFVBN57,2024-10-22
3090,Cristian Contreras Muñoz,1985-05-14,M,COMC850514HNENZR17,2024-10-05
3091,Leonardo Díaz Palacios,1996-01-21,M,DAPL960121HDFZLN58,2024-12-19
3092,Juan Vázquez Martínez,1998-11-30,M,VUMJ981130HDFZRN39,2024-10-24
3093,Raúl Soto Cruz,1985-10-29,M,SOCR851029HMCTRL62,2024-12-01
3094,Alejandra Citlali Palacios Campos,1994-12-08,F,PACA941208MMCLML53,2024-09-17
3095,Iván Medina Ruiz,1994-09-26,F,MERI940926HDFDZV73,2024-10-07
3096,Isabel Carmona Rangel,1994-09-05,F,CARI940905MMCRNS81,2024-09-03
3097,Fernando Álvarez Vargas,1999-08-29,M,AAVF990829HDFLRR13,2024-12-17
3098,David Núñez Rojas,1991-10-17,M,NERD911017HDFZJV53,2024-12-17
3099,Oscar Valencia Torres,1987-09-30,M,VATO870930HDFLRS93,2025-02-06
3100,Jessica Romero Molina,1994-05-22,F,ROMJ940522MDFMLS10,2025/01/20
3101,Cecilia Espinoza Delgado,1992-05-16,F,EIDC920516MDFSLC13,2024-09-27
3102,Nayeli Orozco Herrera,1991-10-07,F,OOHN911007MMCRRY91,2024-09-14
3103,Roberto Ortiz Rojas,1990-01-18,M,OIRR900118HMCRJB07,2024-08-14
3104,Elena Torres Estrada,1994-04-21,F,TOEE940421MMCRSL13,2024-11-01
3105,Arturo Ortiz Velázquez,1997-10-11,M,OIVA971011HDFRLR04 ,2025-01-07
3106,Erika Erika Hernández Herrera,2003-12-21,F,HEHE031221MDFRRR36,2024-10-03
3107,Regina Irma Domínguez Ruiz,1996-01-15,F,DORR960115MNEMZG05,2024-09-01
3108,Guadalupe Gómez Pérez,2004-04-14,F,GEPG040414MDFMRD51,2024-12-28
3109,Vanessa Rangel Zavala,1996-04-16,F,RAZV960416MDFNVN19,2024-11-19
3110,Iván Santiago Castillo Medina,1994-12-21,M,CAMI941221HDFSDV88,2025-02-19
3111,Citlali Zavala Castro,1985-08-22,F,ZACC850822MDFVST25,2024-08-01
3112,Andrea Vázquez Flores,1996-09-18,F,VUFA960918MDFZLN20,2024-08-15
3113,Oscar Rosales Vargas,2003-12-17,M,ROVO031217HDFSRS58,2024-12-27
3114,Laura Acosta Molina,2001-05-22,F,AOML010522MNECLR18,2025-01-31
3115,Leonardo Guerrero Romero,1997-01-17,M,GURL970117HNERMN48,2024-09-20
3116,Sebastián Medina Téllez,2003-04-30,M,METS030430HMCDLB03,2024-12-13
3117,Teresa Contreras Cruz,2005-06-08,F,COCT050608MDFNRR34,2024-11-12
3118,Daniela Ramos Cruz,1987-03-13,F,RACD870313MMCMRN37,10/21/2024
3119,Beatriz Susana Acosta Ramos,1999-12-11,F,AORB991211MDFCMT44,2024-11-11
3120,Daniela Sandoval Torres,2006-10-23,F,SATD061023MDFNRN67,2025-02-27
,Daniela Sandoval Torres,2006-10-23,F,SATD061023MDFNRN67,2025-02-27
3121,Roberto Ortiz Trejo,1991-02-02,M,OITR910202HNERRB52,2025-01-01
3122,Montserrat Pérez Sandoval,2003-10-07,F,PESM031007MMCRNN99,2024-11-13
3123,Alberto Rivera Castro,1999-02-21,M,RICA990221HDFVSL77,2024-10-22
3124,Adrián Rojas López,2006-09-25,M,ROLA060925HDFJPD20,2024-08-04
3125,Brenda Fuentes Téllez,1993-03-19,F,FUTB930319MDFNLR74,2024-12-23
3126,Sebastián Figueroa Ríos,2003-08-16,Masculino,FIRS030816HMCGSB36,2024-09-04
3127,David Uriel Gómez Palacios,2000-02-18,M,,2024-08-17
3128,Erick Martín Suárez Aguilar,1996-03-05,M,SUAE960305HDFRGR78,2024-12-20
3129,Valeria Flores Cervantes,1992-01-13,F,FOCV920113MDFLRL10,2025-02-26
3130,Luis López Cabrera,1993-04-03,M,LECL930403HDFPBS62,2024-10-15
,Luis López Cabrera,1993-04-03,M,LECL930403HDFPBS62,2024-10-15
3131,Patricia Perla Palacios Reyes,1995-06-08,F,PARP950608MDFLYT71,2025-02-08
3132,Roberto Torres González,1995-02-02,M,TOGR950202HDFRNB94,2025-01-31
3133,Daniel Raúl Salazar Bautista,1999-05-10,M,SABD990510HDFLTN06,2024-09-12
3134,Hugo Navarro Muñoz,1995-05-06,M,NAMH950506HMCVZG19,2024-10-28
3135,Silvia Camacho Rangel,1985-07-25,F,CARS850725MDFMNL47,2025-02-24
3136,Beatriz Navarro Bautista,2004-02-18,F,NABB040218MNEVT,2025-01-28
3137,Yolanda Fuentes Reyes,1997-04-02,F,FURY970402MDFNYL55,2024-08-04
3138,Francisco Delgado Guerrero,2003-10-02,M,DEGF031002HMCLRR50,2025-01-01
3139,Erick Sánchez Cervantes,2005-06-19,M,SECE050619HMCNRR29,2025-01-16
3140,Irma Natalia Estrada Mendoza,1993-04-08,F,EAMI930408MNESNR84,2024-11-07
3141,Sandra Herrera Morales,1988-10-31,F,HEMS881031MNERRN43,2024-11-25
3142,Jessica Leticia Carmona Silva,1988-11-25,F,CASJ881125MDFRLS68,2024-10-13
3143,Luis Pablo Estrada Ruiz,1990-11-13,M,EARL901113HMCSZS78,2024-11-20
3144,Eduardo  Rodrigo  Gómez  Cruz,1986-10-10,M,GECE861010HDFMRD47,2025-02-27
3145,Mónica Brenda Aguilar León,1998-02-26,F,AULM980226MDFGNN08,2024-09-10
3146,Irma Erika Ríos Rosales,1993-07-08,F,RORI930708MDFSSR65,02/09/2025
3147,Néstor González Jiménez,2005-08-22,M,GOJN050822HDFNMS60,2024-11-12
3148,Luz Gabriela Lara Carmona,1991-12-01,F,LACL911201MDFRRZ42,2024-12-26
3149,Karla Soto Romero ,1992-09-11,F,SORK920911MDFTMR98,2024-09-19
3150,Cecilia Trejo Cabrera,1991-04-27,F,TECC910427MMCRBC75,2025-02-15
3151,Alicia Carmona Silva,2003-03-02,F,CASA030302MDFRLL27,2024/10/28
3152,Lucía Estrada Rodríguez,2003-07-06,F,,27-10-2024
3153,luis erick espinoza zavala,1989-03-22,M,EIZL890322HDFSVS49,2025-01-20
,luis erick espinoza zavala,1989-03-22,M,EIZL890322HDFSVS49,2025-01-20
3154,Omar Vázquez Sánchez,2006-10-06,M,VUSO061006HDFZNM46,2024-09-29
3155,Paola Cervantes Estrada,1996-06-24,F,CEEP960624MDFRSL96,2024-11-10
3156,Tomás Mario Ortiz López,1999-04-30,M,OILT990430HMCRPM74,2024-11-18
3157,Citlali Paola Velázquez Domínguez,2001-05-02,F,VEDC010502MDFLMT64,2025-02-05
3158,Cecilia Ruiz Herrera,30 Mar 1997,F,RUHC970330MMCZRC07,2024-10-25
3159,Alejandra Andrea Martínez Pérez,1997-09-17,F,MAPA970917MMCRRL07,2024-11-29
3160,Ana Guerrero Romero,1987-09-15,F,GURA870915MDFRMN04,2024-08-19
3161,Araceli Paola Camacho Carmona,1995-01-03,F,CACA950103MCSMRR72,2024-08-11
3162,Araceli Ibarra Morales,05/18/1988,F,IAMA880518MDFBRR16,2024-08-20
3163,Gustavo López Guerrero,1986-04-14,M,LEGG860414HDFPRS22,2024-10-18
3164,Teresa Ibarra Díaz,1997-08-24,F,IADT970824MDFBZR83,2024-09-14
3165,Teresa Ibarra Acosta,1994-11-16,F,IAAT941116MDFBCR82,08 Nov 2024
3166,Claudia Zavala Zavala,1989-10-03,F,ZAZC891003MDFVVL05,2024-08-06
3167,Gabriel Brandon Castro Vázquez,2003-06-24,M,CAVG030624HDFSZB89,2025-02-15
3168,Gustavo Erick Guerrero Sánchez,1992-10-02,M,GUSG921002HDFRNS64,2024-08-20
3169,Armando Roberto Salazar Valencia,1985-04-17,M,SAVA850417HMCLLR49,2024-09-04
3170,Ariadna Morales Álvarez,1993-02-14,F,MOAA930214MDFRLR54,2025-01-18
3171,David Cruz Flores,1988-08-21,M,CUFD880821HDFRLV78,2024-08-05
3172,Víctor Hernández Carmona,2003-08-14,M,HECV030814HDFRRC28,2024-08-19
3173,Pablo Cruz Hernández,1992-09-12,M,CUHP920912HDFRRB96,2024/12/08
3174,Norma Ibarra Herrera,1996-05-05,F,IAHN960505MMCBRR21,2025-02-05
3175,Omar Leonardo Cabrera Flores,1998-12-18,M,CAFO981218HDFBLM52,2024-09-26
3176,Adriana Rojas Sandoval,1987-10-30,F,ROSA871030MDFJND55,2025-01-02
3177,Mariana Susana Cervantes Velázquez,2002-09-17,F,CEVM020917MDFRLR99,2025-01-24
3178,Leticia López Aguilar,2002-02-07,F,LEAL020207MDFPGT03,2024-08-19
3179,César Núñez González,1986-05-26,M,NEGC860526HMCZNS09,2024-08-06
3180,Ana Vázquez Palacios,1997-05-02,F,VUPA970502MDFZLN48,2025-02-20
3181,carolina elena gonzález mejía,1987-01-30,F,GOMC870130MMCNJR84,2025-02-19
3182,Emilio Aguilar Ríos,1990-03-25,M,AURE900325HNEGSM03,2024-08-01
3183,Adriana Gutiérrez Núñez,2004-09-21,F,PENDIENTE,2024-08-25
3184,Alberto Núñez Ramírez,2003-06-08,M,NERA030608HDFZML81,2024-09-22
3185,Silvia Vanessa Contreras Zavala,2001-02-15,F,COZS010215MDFNVL93,2024-10-30
3186,Norma Araceli Acosta Acosta,1999-02-20,F,AOAN990220MDFCCR97,2024-09-30
3187,Andrés Sebastián Silva Ortiz,1987-02-03,M,SIOA870203HDFLRN84,2024-08-30
3188,Daniel Silva Díaz,1997-02-28,M,SIDD970228HDFLZN42,2024-11-17
3189,Mario Ríos Hernández,1990-02-22,M,ROHM900222HDFSRR12,2024-11-29
3190,Armando Rangel Zavala,1996-01-27,M,RAZA960127HDFNVR05,2025-01-24
3191,Leticia Navarro García,1990-08-02,F,NAGL900802MMCVRT08,2024-10-02
3192,Raquel Verónica Fuentes Gómez,1999-08-05,F,FUGR990805MDFNMQ26,2024-11-09
3193,Teresa Karla Díaz González,1995-06-08,F,DAGT950608MDFZNR19,2024-11-21
3194,Alejandra Valencia Téllez,1989-12-05,F,VATA891205MDFLLL11,2024-09-01
3195,Diego Reyes Carmona,1995-08-06,M,RECD950806HDFYRG78,2025-01-28
3196,Dulce Beatriz Delgado Cruz,28 Oct 1993,F,DECD931028MDFLRL24,2024-10-27
3197,Valeria Valencia Cruz,1993-05-01,F,VACV930501MMCLRL47,2024-09-23
3198,Jessica Sánchez Gutiérrez,1991-09-17,F,SEGJ910917MDFNTS43,2024-09-14
3199,Beatriz Cabrera Bautista,2005-04-02,F,CABB050402MDFBTT80,2024-10-24
3200,Catalina Ramírez González,2006-10-12,F,RAGC061012MMCMNT20,2024-10-06
3201,Axel Sebastián Delgado Figueroa,1986-05-25,M,DEFA860525HMCLGX51 ,2024-08-16
3202,Diego Aguilar Contreras,1987-08-26,M,AUCD870826HDFGNG91,2025-02-19
3203,Leticia Bautista Velázquez ,2000-01-27,F,BAVL000127MDFTLT93,2024-08-25
3204,Gabriela Cruz Vargas,2004-01-29,F,CUVG040129MDFRRB42,2024-10-06
3205,Juan Flores Sandoval,2002-01-29,M,FOSJ020129HDFLNN42,2025-01-15
3206,Yolanda Nayeli Salazar Rodríguez,2003-10-10,F,SARY031010MMCLDL77,2024-10-25
3207,Ángel Díaz Lara,1987-02-18,M,DALA870218HMCZRN71,2025-02-16
3208,GUSTAVO ANDRÉS CERVANTES PALACIOS,1990-11-21,M,CEPG901121HDFRLS83,2025-01-02
,GUSTAVO ANDRÉS CERVANTES PALACIOS,1990-11-21,M,CEPG901121HDFRLS83,2025-01-02
3209,Citlali Cabrera Domínguez,1988-11-30,F,CADC881130MDFBMT39,2024-10-10
3210,Carmen Rosa Castillo Aguilar,1988-10-13,F,CAAC881013MDFSGR80,2024-09-28
3211,Itzel Trejo Herrera,1996-11-06,F,TEHI961106MDFRRT44,2024-08-25
3212,David Orozco Herrera,2002-12-30,M,OOHD021230HMCRRV99,2024-09-10
3213,Eduardo Medina Torres,1985-03-16,M,METE850316HDFDRD10,2024-09-16
3214,Santiago Axel Mendoza Sandoval,1995-01-08,M,MESS950108HDFNNN84,2025-03-01
3215,Saúl  Sandoval  Valencia,1992-08-03,M,SAVS920803HNENLL79,2024-11-15
3216,Sergio Ignacio Ramírez Navarro,1990-06-30,M,RANS900630HDFMVR51,2024/10/06
3217,Ramón Trejo Morales,1997-09-05,M,TEMR970905HDFRRM93,2024-12-18
3218,Martín Soto Téllez ,1994-06-06,M,SOTM940606HDFTLR95,2024-09-08
3219,Alejandra Vanessa Díaz Pérez,1989-02-20,F,DAPA890220MMCZRL45,2024-11-24
3220,Iván Pérez Fuentes,1993-01-27,M,PEFI930127HDFRNV32,2024-12-13
3221,Mónica Alicia Molina Cruz,2001-10-22,F,MOCM011022MDFLRN61,2024-09-13
3222,José Ramos Vázquez,1998-03-08,M,RAVJ980308HDFMZS49,2025-02-06
