SID,CALLE,COLONIA,MUNICIPIO,ENTIDAD,CP,FECHA_ACT
1727,Calle 16 de Septiembre 413,Tabacalera,Atizapán de Zaragoza,Estado de México,53200,2024-09-27
1728,Viaducto Miguel Alemán 360 Int. 16,Azcapotzalco,Tlalpan,Ciudad de México,15900,2025-01-06
1729,Eje 1 Norte 755 Int. 16,Churubusco,Gustavo A. Madero,Ciudad de México,07700,2024-09-14
1730,Eje 2 Poniente 277 Int. 13,Tabacalera,Miguel Hidalgo,Ciudad de México,14735,2025-02-22
1731,Av. Taxqueña 96,Magdalena Contreras,Coyoacán,Ciudad de México,09420,2025-02-10
1732,Calle 16 de Septiembre 573 Int. 6,San Rafael,Magdalena Contreras,Ciudad de México,09750,2024-10-31
1733,Eje 1 Norte 600,Santa María la Ribera,Milpa Alta,Ciudad de México,14200,2025-01-12
1734,Eje 7 Sur 942 Int. 19,Ajusco,Xochimilco,Ciudad de México,14330,2024-08-30
1735,Eje 1 Norte 284 Int. 16,Culhuacán,Azcapotzalco,Ciudad de México,03200,2024-06-21
1736,Av. Canal de Miramontes 946,Coapa,Venustiano Carranza,Ciudad de México,06600,2024-12-22
1737,Calle 5 de Mayo 731 Int. 8,Coapa,Centro,Oaxaca,52144,2024-08-19
1738,Av. Tláhuac 22,Country Club,Cuajimalpa,Ciudad de México,06200,2024-09-02
1739,Eje 3 Sur 307,Tabacalera,Milpa Alta,CIUDAD DE MÉXICO,13300,2025-01-05
1740,Calle Leibniz 47,Verónica Anzures,Tláhuac,Ciudad de México,14020,2025-03-01
1741,Calle Leibniz 977 Int. 14,agrícola oriental,Milpa Alta,Ciudad de México,04200,2024-12-18
1742,Av. Taxqueña 799 Int. 19,General Anaya,Magdalena Contreras,Ciudad de México,06860,2025-01-21
1743,Periférico Norte 607,Lindavista,Álvaro Obregón,Ciudad de México,15870,2024-07-08
1744,Periférico Sur 173 Int. 8,Centro,Iztapalapa,Ciudad de México,01020,2024-10-14
1745,Eje 6 Sur 237 Int. 13,Santa María la Ribera,Azcapotzalco,Ciudad de México,08600,2025-02-14
1746,Calle Tacuba 571 Int. 19,Country Club,Benito Juárez,Ciudad de México,04010,2024-07-22
1747,Av. Taxqueña 771 Int. 4,Obrera,Metepec,Estado de México,55397,2024-06-01
1748,Calle Moneda 790,Roma Norte,Ecatepec,Estado de México,56196,2024-06-26
1749,Calz. de la Viga 591,Narvarte,Milpa Alta,Ciudad de México,1424O,2024-07-10
1750,Calz. Ignacio Zaragoza 509,Tlalpan,Iztacalco,Ciudad de México,01060,2024-09-22
1751,Eje 2 Poniente 627,Del Carmen,Iztapalapa,Ciudad de México,13210,2025-01-27
1752,Eje 2 Poniente 204,Magdalena  Contreras,Gustavo A. Madero,Ciudad de México,04200,2025-01-23
1753,Av. División del Norte 624,Peralvillo,Venustiano Carranza,Ciudad de México,09210,2024-07-19
1754,Av. División del Norte 292,Milpa Alta,Coyoacán,Ciudad de México,11540,2024-08-29
1755,Calle 5 de Mayo 375,Centro,Iztacalco,Ciudad de México,01080,2024-07-11
1756,Calle República de Cuba 902,Obrera,Cuauhtémoc,Ciudad de México,01040,2024-07-17
1757,Av. Revolución 513, Iztapalapa,Chalco,Estado de México,56343,2024-08-09
1758,Av. Juárez 769 Int. 9,SANTA MARÍA LA RIBERA,Miguel Hidalgo,Ciudad de México,08040,2024-08-25
1759,Viaducto Miguel Alemán 549,Santa Catarina,Xochimilco,Ciudad de México,16090,2024-06-17
1760,Av. Tláhuac 522 Int. 17,Ajusco,Milpa Alta,Ciudad de México,09060,2024-10-19
1761,Av. Aztecas 565,Churubusco,Tlalpan,Ciudad de México,14250,2024-09-11
1762,Eje 3 Sur 173,Narvarte,Ecatepec,Estado de México,56186,2024-09-09
1763,Calle Tacuba 112 Int. 18,Florida,Nezahualcóyotl,Estado de México,54276,2025-02-04
1764,Periférico Sur 839 Int. 1,General Anaya,Azcapotzalco,Ciudad de México,14070,2024-12-30
1765,Calle República de Cuba 565 Int. 8,Tláhuac,Coyoacán,Ciudad de México,11830,2024-07-08
1766,Av. Aztecas 724,Centro,Centro ,Guerrero,44107,2024-08-29
1767,Calle Euler 582,Doctores,Iztapalapa,Ciudad de México,09089,2024-12-25
1768,Calle Madero 753 Int. 11,Escandón,Venustiano Carranza,Ciudad de México,09610,2024-06-27
1769,Av. Tláhuac 565,Condesa,Iztapalapa,Ciudad de México,06000,2024-06-17
1770,Periférico Sur 138,Aragón,Milpa Alta,Ciudad de México,14330,2024-09-03
1771,Av. Tláhuac 581,Iztapalapa,La Paz,Estado de México,56343,2024-06-24
1772,Calz. de la Viga 836,Santa Úrsula,Álvaro Obregón,Ciudad de México,06140,2024-08-21
1773,Av. Tlalpan 633,Guerrero,Venustiano Carranza,Ciudad  de  México,03300,2024-06-23
1774,Eje 6 Sur 414,Morelos,Iztacalco,Ciudad de México,09360,2025-01-12
1775,Av. Chapultepec 52,Pantitlán,Cuauhtémoc,Ciudad de México,07000,2024-06-03
1776,Av. Aztecas 411 Int. 10,Polanco,Coacalco,Estado de México,55397,2024-08-14
1777,Av. Tláhuac 559 Int. 14,Santa Úrsula,Azcapotzalco,Ciudad de México,14240,2024-07-15
1778,Eje 2 Norte 273,Iztapalapa,Iztacalco,Ciudad de México,09856,2024-12-31
1779,Viaducto Miguel Alemán 535 Int. 14,San Jerónimo,AZCAPOTZALCO,Ciudad de México,14270,2024-08-17
1780,Eje 1 Poniente 56 Int. 20,Hipódromo,Magdalena Contreras,Ciudad de México,15540,2024-11-15
1781,Av. Juárez 747,Moctezuma,Chimalhuacán,Estado de México,55100,2024-07-26
1782,Eje Central 394 Int. 13,Polanco,Álvaro Obregón,Ciudad de México,11450,2024-10-05
1783,Eje 1 Norte 264 Int. 10,Magdalena Contreras,Venustiano Carranza,Ciudad de México,14330,2024-06-14
1784,Eje 5 Sur 821 Int. 15,Pantitlán,Tlalpan,Ciudad de México,09780,2024-12-15
1785,Calle Moneda 657,Tepito,Venustiano Carranza,Ciudad de México,13070,2024-08-22
1786,Calle Euler 810,Tlacopac,Cuajimalpa,Ciudad de México,15620,2024-07-07
1787,Eje 6 Sur 891,Pantitlán,Milpa Alta,Ciudad de México,15510,2025-01-07
1788,Eje 6 Sur 776,Coyoacán,Azcapotzalco,Ciudad de México,06820,2024-09-07
1789,Calle República de Cuba 596,San Jerónimo,Cuauhtémoc,Ciudad de México,09750,2024-12-08
1790,Eje 6 Sur 988,Aragón,Ixtapaluca,Estado de México,56323,2024-12-31
1791,Eje 4 Sur 495,Escandón,Azcapotzalco,Ciudad de México,06600,2024-11-07
1792,Av. División del Norte 863,Polanco,Tláhuac,Ciudad de México,08060,2025-01-23
1793,Eje 6 Sur 970,Escandón,Tláhuac,Ciudad de México,05020,2025-01-13
1794,Viaducto Miguel Alemán 195 Int. 6,Tabacalera,Álvaro Obregón,Ciudad de México,11510,2024-12-23
1795,Av. Cuauhtémoc 667 Int. 2,Iztapalapa,Gustavo A. Madero,Ciudad de México,14240,2024-09-03
1796,Eje 3 Norte 87 Int. 16,Lindavista,Iztapalapa,Ciudad de México,09010,2025-02-20
1797,Av. Canal de Miramontes 816,Narvarte,Cuauhtémoc,Ciudad de México,01050,2024-09-09
1798,Calle Uruguay 90 Int. 20,Anzures,Centro,Campeche,,2024-09-01
1799,Eje 4 Sur 428 Int. 14,Industrial Vallejo,Cuajimalpa,Ciudad de México,08060,2025-01-11
1800,Calle República de Cuba 989 Int. 2,Escandón,Tlalpan,Ciudad de México,15470,2024-08-16
1801,Calle Madero 245,Del Carmen,Zinacantepec,Estado de México,55290,2024-06-17
1802,Calle Pino Suárez 136 Int. 5,Coapa,Huixquilucan,Estado de México,54150,2024-08-14
1803,Av. Cuauhtémoc 33,Azcapotzalco ,Cuauhtémoc,Ciudad de México,11400,2024-07-16
1804,Calle Pitágoras 448,Tlacopac,Atizapán de Zaragoza,Estado de México,54350,2024-12-26
1805,Calle Correo Mayor 780,Magdalena Contreras,Zinacantepec,Estado de México,55390,2024-06-23
1806,Calle República de Cuba 614 Int. 17,San Lorenzo Tezonco,Gustavo A. Madero,Ciudad de México,15610,2025-01-26
1807,Calle Euler 731,Iztapalapa,Tlalnepantla,Estado de México,56264,2025-01-20
1808,Calle Moneda 455,Tabacalera,Magdalena Contreras,Ciudad de México,09800,2025-01-21
1809,Av. Aztecas 222,Tlacopac,Azcapotzalco,Ciudad de México,14390,2024-08-02
1810,Eje 5 Sur 469,Florida,Tlalnepantla,Estado de México,56317,2024-09-07
1811,Eje 2 Poniente 656,Azcapotzalco,Tultitlán,Estado de México,56367,2025-02-21
1812,Av. Taxqueña 265,ROMA NORTE,Magdalena Contreras,Ciudad de México,06040,2025-01-13
1813,Av. Chapultepec 138,Obrera,Tláhuac,Ciudad de México,06170,2024-07-13
1814,Eje 5 Sur 555,Lindavista,Centro,Nuevo León,98706,2024-06-14
1815,Av. Hidalgo 243,Iztapalapa ,Azcapotzalco,Ciudad de México,14640,2025-02-11
1816,Calz. de la Viga 243 Int. 10,Moctezuma,Álvaro Obregón,Ciudad de México,03500,2024-09-01
1817,Calle Isabel la Católica 914 Int. 4,Peralvillo,Iztacalco,Ciudad de México,01070,2025-01-25
1818,Av. División del Norte 598 Int. 13,Aragón,álvaro obregón,Ciudad de México,15890,2024-12-05
1819,Calle Correo Mayor 801 Int. 4,Balbuena,cuajimalpa,Ciudad de México,11860,2024-06-27
1820,Av. Universidad 179 Int. 17,Florida,Iztapalapa,Ciudad de México,15420,2024-11-28
1821,Calle Isabel la Católica 968 Int. 5,Agrícola Oriental,Texcoco,Estado de México ,5024,2024-09-01
1822,Av. Cuauhtémoc 72,Cuauhtémoc,Iztacalco,Ciudad de México,04020,2024-11-15
1823,Av. Taxqueña 492 Int. 16,Industrial Vallejo,Xochimilco,Ciudad de México,11460,2025-01-23
1824,Av. Reforma 902 Int. 12,Azcapotzalco,Centro,Nayarit,62923,2025-02-03
1825,Av. Coyoacán 201 Int. 4, Cuauhtémoc,Tlalpan,Ciudad de México,05010,2024-09-04
1826,Calle Leibniz 941 Int. 19,Florida,Centro,Sonora,45819,2025-03-01
1827,Calle Moneda 848 Int. 11,Magdalena Contreras, Texcoco,Estado de México,56260,2024-10-01
1828,Av. Taxqueña 189 Int. 14,Mixcoac,Magdalena Contreras,Ciudad de México,15380,2024-10-30
1829,Eje 2 Norte 866 Int. 11,TLÁHUAC,Venustiano Carranza,Ciudad de México,15500,2024-06-20
1830,Calle Correo Mayor 415,Milpa Alta,huixquilucan,Estado de México,55419,2024-12-01
1831,Eje 8 Sur 704,Doctores,Cuauhtémoc,Ciudad  de  México,14650,2025-01-25
1832,Eje 1 Poniente 425 Int. 3,Milpa Alta,Ecatepec,Estado de México,56195,2025-02-27
1833,Calz. de Tlalpan 180 Int. 16,Constitución de 1917,Atizapán de Zaragoza,Estado de México,56180,2024-06-28
1834,Eje 6 Sur 199,Santa María la Ribera,Milpa Alta,Ciudad de Mexico,11590,2024-11-17
1835,Eje 7 Sur 725,Portales,Centro,Michoacán,9689,2024-08-12
1836,Calle 16 de Septiembre 478,Centro,Coacalco,Estado de México,55338,2024-10-09
1837,Eje 2 Norte 614 Int. 4,San Jerónimo,Iztapalapa,Ciudad de México,15900,2024-10-28
1838,Calle 16 de Septiembre 230,San Rafael,Tláhuac,Ciudad de México,04020,2024-12-23
1839,Calle Bolívar 826,Doctores,Ecatepec,Estado de México,55120,2024-11-06
1840,Av. Canal de Miramontes 679, Portales,Gustavo A. Madero,Ciudad de México,14710,2024-08-28
1841,Av. Insurgentes 718,General Anaya,Xochimilco,Ciudad de México,06030,2025-02-19
1842,Av. Insurgentes 859,San Ángel,Nezahualcóyotl,Estado de México,55416,2024-07-21
1843,Av. Tláhuac 220,Pantitlán,Azcapotzalco,Ciudad de México,13600,2024-09-19
1844,Viaducto Miguel Alemán 543 Int. 4,Magdalena Contreras,Iztapalapa,Ciudad de México,07010,2024-08-19
1845,Av. Chapultepec 920 Int. 4,Lomas de Chapultepec,Ixtapaluca,Estado de México,56117,2024-11-26
1846,Av. Tlalpan 314 Int. 5,Magdalena Contreras,Venustiano Carranza,Ciudad de México,09820,2024-12-14
1847,Av. Revolución 615,Peralvillo,La Paz,Estado de México,56367,2024-10-06
1848,Calle Madero 144,Polanco,Nezahualcóyotl,Estado de México,55355,2024-09-30
1849,Calle Bolívar 769,Del Carmen,Cuauhtémoc,Ciudad de México,13400,2024-11-01
1850,Calle Isabel la Católica 186,Condesa,Iztapalapa,Ciudad de México,13600,2024-12-30
1851,Av. Revolución 489,Hipódromo,Azcapotzalco,Ciudad de México,14600,2025-02-09
1852,Eje 3 Norte 281,Country Club,Magdalena Contreras,Ciudad de México,06900,2025-01-20
1853,Eje 6 Sur 189 Int. 2,Clavería,Nezahualcóyotl,Estado de México,55414,2024-12-22
1854,Periférico Norte 363,Buenos Aires,Álvaro Obregón,Ciudad de México,01010,2025-02-08
1855,Av. Tláhuac 379,Florida,Chalco,Estado de México,50120,2024-06-20
1856,Calle Moneda 142 Int. 11,Magdalena Contreras,Naucalpan,Estado de México,54090,2024-11-22
1857,Av. Taxqueña 590 Int. 12,Constitución de 1917,Cuajimalpa,Ciudad de México,16020,2024-06-06
1858,Viaducto Miguel Alemán 699,Tlalpan,Coyoacán,Ciudad de México,09240,2024-10-11
1859,Calle Pitágoras 456 Int. 12,Escandón,Chalco,Estado de México,55190,2024-07-02
1860,Av. Tláhuac 420 Int. 3,Peralvillo,Naucalpan,Estado de México,55040,2024-11-10
1861,Av. División del Norte 827,Ajusco,Cuajimalpa,Ciudad de México,14330,2024-06-14
1862,Eje Central 859 Int. 14,Roma Norte,Tláhuac,Ciudad de México,15800,2024-08-22
1863,Calle Isabel la Católica 374 Int. 20,Xochimilco,Tlalpan,Ciudad de México,15020,2024-11-29
1864,Av. Reforma 828 Int. 10,Santa Úrsula,Centro,Morelos,69648,2025-02-09
1865,Av. Canal de Miramontes 310,Clavería,Álvaro Obregón,Ciudad de México,15620,2024-12-08
1866,Circuito Interior 654 Int. 11,Mixcoac,Venustiano Carranza,Ciudad de México,14070,2024-11-21
1867,Calle Correo Mayor 812 Int. 19,Obrera,Milpa Alta,Ciudad de México,14500,2024-09-03
1868,Av. Taxqueña 257,Tlacopac,Texcoco,Estado de México,54243,2024-06-03
1869,Av. Reforma 286,Balbuena,Nezahualcóyotl ,Estado de México,50030,2024-06-14
1870,Eje Central 797,Lindavista,Coyoacán,Ciudad de México,11850,2024-09-02
1871,Av. Juárez 715,Roma Sur,Centro,Oaxaca,20847,2024-09-30
1872,Eje 3 Norte 542,Del Valle,Cuauhtémoc,Ciudad de México,16035,2024-07-01
1873,Eje 4 Sur 503,Milpa Alta,Ecatepec,Estado de México,56239,2024-06-02
1874,Av. Hidalgo 210,Florida,Naucalpan,Estado de México,50180,2024-08-09
1875,Eje 3 Norte 508 Int. 3,Lomas de Chapultepec,Tlalpan, Ciudad de México,11400,2024-06-30
1876,Eje 3 Norte 243,San Ángel,Ixtapaluca,Estado de México,54268,2024-07-19
1877,Eje 1 Norte 212 Int. 14,Pedregal,Tláhuac,Ciudad de México,15890,2025-03-01
1878,Circuito Interior 277 Int. 8,Azcapotzalco,Metepec,Estado de México,52176,2025-01-06
1879,Av. Reforma 201 Int. 10,Lomas de Chapultepec,Venustiano Carranza,Ciudad de México,15420,2024-07-31
1880,Av. Chapultepec 59,Verónica Anzures,Álvaro Obregón,Ciudad de México,05030,2024-11-15
1881,Calle Isabel la Católica 368,Cuauhtémoc,Xochimilco,Ciudad de México,10300,2024-12-24
1882,Calle 16 de Septiembre 579,Clavería,Xochimilco,Ciudad de México,10300,2024-11-24
1883,Calle 5 de Mayo 738 Int. 1,Tlalpan,Cuajimalpa,Ciudad de México,08040,2024-12-11
1884,Calle Tacuba 767,Tláhuac,Tláhuac,Ciudad de México,10100,2024-12-28
1885,Av. Chapultepec 755,Churubusco,Cuajimalpa,Ciudad de México,09340,2024-12-19
1886,Eje 7 Sur 50 Int. 15,Irrigación,Álvaro Obregón,Ciudad de México,06880,2024-08-04
1887,Eje 7 Sur 646,Pedregal,La Paz,Estado de México,56343,2024-06-02
1888,Calle Pitágoras 444,Lomas de Chapultepec,Iztapalapa,Ciudad de México,11530,2024-06-06
1889,Av. Tlalpan 580,Condesa,Venustiano Carranza,Ciudad de México,05020,2024-06-10
1890,Calz. de la Viga 948,Balbuena,Tláhuac,Ciudad de México,13010,2024-08-05
1891,Calle Pitágoras 600 Int. 3,Roma Norte,Texcoco,Estado de México,55438,2024-10-31
1892,Av. Coyoacán 61,Cuauhtémoc,Miguel Hidalgo,Ciudad de México,09360,2024-06-06
1893,Eje 1 Norte 976 Int. 7,Polanco,Cuauhtémoc,Ciudad de México,09520,2024-08-27
1894,Calz. de la Viga 853,Santa María la Ribera,Tláhuac,Ciudad de México,14380,2024-08-22
1895,Calle 16 de Septiembre 10,Cuauhtémoc,Gustavo A. Madero,Ciudad de México,15300,2024-09-30
1896,Eje 1 Poniente 63 Int. 13,Doctores,Cuauhtémoc,ciudad de méxico,01050,2024-09-16
1897,Av. Chapultepec 489 Int. 14,Peralvillo,La Paz,Estado de México,55079,2024-07-29
1898,Calle Bolívar 221,Tepito,Cuajimalpa,Ciudad de México,14735,2025-01-27
1899,Calle Donceles 990 Int. 6,Santa Úrsula,Ecatepec,Estado de México,055130,2025-01-14
1900,Eje 7 Sur 343 Int. 1,Verónica Anzures,Azcapotzalco,CIUDAD DE MÉXICO,09780,2025-02-03
1901,Calle Moneda 412,Juárez,GUSTAVO A. MADERO,Ciudad de México,09700,2024-12-02
1902,Circuito Interior 862 Int. 5,Florida,Atizapán de Zaragoza,Estado de México,56130,2024-11-07
1903,Av. Chapultepec 246,Hipódromo,Magdalena Contreras, Ciudad de México,15700,2024-07-17
1904,Eje 1 Poniente 739 Int. 3,Aragón,Toluca,Estado de México,055339,2024-11-20
1905,Viaducto Miguel Alemán 728,Obrera,Xochimilco,Ciudad de México,08060,2025-02-02
1906,Periférico Sur 27 Int. 13,Ajusco,Cuajimalpa,Ciudad de México,14400,2024-10-11
1907,Eje 1 Poniente 525 Int. 14,Azcapotzalco,Zinacantepec,Estado de México,55130,2024-12-10
1908,Calle Pino Suárez 168,San Rafael,Iztapalapa,Ciudad de México,09320,2024-06-02
1909,Av. Chapultepec 841 Int. 6,Tacubaya,Cuauhtémoc,Ciudad de México,09700,2024-08-26
1910,Av. Chapultepec 436,Granada,Coyoacán,Ciudad de México,14500,2024-07-31
1911,Eje 3 Sur 909,Constitución de 1917,Coacalco,Estado de México,55425,2024-10-16
1912,Periférico Sur 755 Int. 11,Doctores,Chimalhuacán,Estado de México,55360,2024-07-04
1913,Calle Bolívar 819,Obrera,Miguel Hidalgo,Ciudad de México,03300,2024-10-07
1914,Eje 3 Norte 855,Anzures,Tultitlán,Estado de México,56246,2024-09-09
1915,Av. Universidad 184,Country Club,azcapotzalco,Ciudad de México,11420,2024-12-02
1916,Av. Tláhuac 230 Int. 4,Industrial Vallejo,Tlalpan,Ciudad de México,11630,2024-09-20
1917,Av. Insurgentes 139 Int. 12,Tlacopac,Iztacalco,Ciudad de México,15860,2025-02-07
1918,Calle Pino Suárez 414 Int. 4,Juárez,Álvaro Obregón,Ciudad de México,16040,2024-06-02
1919,Calle Leibniz 490,Lomas  de  Chapultepec,Gustavo A. Madero,Ciudad de México,08000,2024-07-23
1920,Av. Insurgentes 170 Int. 8,Juárez,Venustiano Carranza,Ciudad de México,15460,2024-06-06
1921,Calle Pitágoras 165 Int. 6,Industrial Vallejo,Iztapalapa,Ciudad de México,09020,2025-02-17
1922,Calle Isabel la Católica 89 Int. 4,Morelos,Azcapotzalco,Ciudad de México,14418,2024-07-29
1923,Eje 2 Poniente 848 Int. 10,Santa María la Ribera,Magdalena Contreras,Ciudad de México,08500,2024-06-30
1924,Av. División del Norte 27,Anzures,Tlalpan,Ciudad de México,05120,2024-08-29
1925,Calle Isabel la Católica 174 Int. 19,Escandón,Chalco,Estado de México,53400,2024-12-07
1926,Calle Donceles 348,Milpa Alta,Centro,Querétaro,93972,2024-10-15
1927,Eje 3 Sur 921 Int. 10,Culhuacán,Benito Juárez,Ciudad de México,06020,2024-12-03
1928,Periférico Norte 938,Churubusco,Miguel Hidalgo,Ciudad de México,16030,2024-06-19
1929,Calle Leibniz 848,San Jerónimo,Tlalpan,Ciudad de México,03400,2024-06-06
1930,Av. Cuauhtémoc 262 Int. 5,Churubusco,Magdalena Contreras,Ciudad de México,11630,2024-12-04
1931,Av. Hidalgo 110, Del Valle,Gustavo  A.  Madero,Ciudad de México,15610,2024-11-18
1932,Calle Donceles 11,Lindavista,Cuajimalpa,Ciudad de México,13600,2024-12-23
1933,Calle Uruguay 425 Int. 17,Verónica Anzures,Cuajimalpa,Ciudad de México,09089,2024-06-14
1934,Calle Pitágoras 769,Roma Sur,Chalco,Estado de México,55320,2024-10-18
1935,Calle Euler 286,Guerrero,Tlalpan,Ciudad de México,11100,2024-08-13
1936,Av. Reforma 832,Condesa,Tlalnepantla,Estado de México,54245,2025-02-18
1937,Calle Pino Suárez 924 Int. 9,Obrera,Cuauhtémoc,Ciudad de México,11440,2025-02-26
1938,Calle Donceles 304,Tepito,La Paz,Estado de México,55253,2025-01-13
1939,Av. Juárez 84 Int. 12,Balbuena,Atizapán de Zaragoza,Estado de México,54256,2024-09-20
1940,Calle Isabel la Católica 772 Int. 16,Coyoacán,Benito Juárez,Ciudad de México,13100,2025-01-11
1941,Av. Canal de Miramontes 714,Tlacopac,Magdalena Contreras,Ciudad de México,09500,2024-06-18
1942,Av. Aztecas 883 Int. 11,General Anaya,Magdalena Contreras,Ciudad de México,09210,2024-12-07
1943,Circuito Interior 244 Int. 14,San Jerónimo,Benito Juárez,Ciudad de México,05020,2024-11-11
1944,Eje 3 Norte 532 Int. 8,Agrícola Oriental,Benito Juárez,Ciudad de México,09530,2024-11-17
1945,Periférico Norte 845,General Anaya,Cuauhtémoc,Ciudad de México,10500,2024-12-08
1946,Av. Revolución 589 Int. 10,Doctores,Magdalena Contreras,ciudad de méxico,06000,2024-12-24
1947,Av. Coyoacán 183 Int. 6,Magdalena Contreras,TEXCOCO,Estado de México,56220,2024-11-06
1948,Eje 6 Sur 184,Condesa,Iztapalapa,Ciudad de México,08100,2024-06-03
1949,Av. Coyoacán 827 Int. 16,Tabacalera,Cuautitlán Izcalli,Estado de México,56000,2025-02-12
1950,Eje 7 Sur 425 Int. 13,Azcapotzalco,Iztapalapa,Ciudad de México,15330,2025-02-16
1951,Av. Hidalgo 761 Int. 7,Centro,Cuajimalpa,Ciudad de México,07600,2024-09-27
1952,Calle República de Cuba 34 Int. 18,Coapa,Tláhuac,Ciudad de México,16060,2024-10-17
1953,Av. Cuauhtémoc 972 Int. 10,Clavería,Cuajimalpa,Ciudad de México,15200,2024-10-15
1954,Av. Reforma 51,Industrial Vallejo,Xochimilco,Ciudad de México,15100,2024-06-08
1955,Calle Uruguay 919 Int. 2,Industrial Vallejo,Tultitlán,Estado de México,56246,2024-12-19
1956,Calz. Ermita Iztapalapa 958,Centro,chimalhuacán,Estado de México,54230,2024-11-26
1957,Calle 5 de Mayo 411 Int. 4,Clavería,Gustavo A. Madero,Ciudad de México,13070,2025-01-26
1958,Calle Leibniz 754 Int. 7,Guerrero,Iztapalapa,Ciudad de México,09856,2025-01-24
1959,Eje 3 Norte 717,Granada,Xochimilco,Ciudad de México,06720,2025-01-31
1960,Eje 3 Sur 336,Peralvillo,Gustavo A. Madero,Ciudad de México,15860,2024-07-23
1961,Av. Tláhuac 598,Tláhuac,La Paz,Estado de México,55448,2024-12-07
1962,Calle Uruguay 891,Juárez,Miguel Hidalgo,Ciudad de México,03400,2024-08-30
1963,Calle 16 de Septiembre 528,Industrial Vallejo,Nezahualcóyotl,Estado de México,52172,2024-06-11
1964,Eje 3 Sur 946,Condesa,ZINACANTEPEC,Estado de México,55324,2024-09-17
1965,Av. Hidalgo 850 Int. 12,Mixcoac,Centro,Chiapas,71094,2024-08-08
1966,Eje 2 Poniente 566,Lindavista,Centro,Veracruz,37824,2024-09-21
1967,Calle Pino Suárez 332,Tabacalera,Benito Juárez,Ciudad de México,1301,2025-01-29
1968,Calle Pino Suárez 653,Santa Catarina,Tlalpan,Ciudad de México,14320,2024-09-18
1969,Calle 5 de Mayo 683,Tlacopac,Iztacalco,Ciudad de México,12080,2024-11-06
1970,Av. División del Norte 68 Int. 7,Magdalena Contreras,Iztacalco,Ciudad de México,11530,2025-01-08
1971,Av. Coyoacán 99,Agrícola Oriental,Naucalpan,Estado  de  México,56360,2024-12-15
1972,Eje Central 349,Lindavista,Atizapán de Zaragoza,Estado de México,55258,2024-06-08
1973,Eje 1 Norte 419,Ajusco,Miguel Hidalgo,Ciudad de México,11850,2025-01-18
1974,Calle Madero 123 Int. 9,Doctores,Tláhuac,Ciudad de México,01010,2025-01-03
1975,Calle Tacuba 465 Int. 1,Polanco,Magdalena Contreras,Ciudad de México,04300,2025-02-18
1976,Calle Moneda 385 Int. 8,San Ángel,Milpa Alta,Ciudad de México,15410,2024-10-23
1977,Calle Bolívar 440 Int. 7,Moctezuma,Centro,Baja California,86783,2025-02-25
1978,Eje 5 Sur 666,Condesa,Miguel Hidalgo,Ciudad de México,08900,2024-09-08
1979,Av. Reforma 674 Int. 4,Aragón,Venustiano Carranza,Ciudad de México,12100,2025-02-06
1980,Av. Hidalgo 410,Pantitlán,Magdalena Contreras,Ciudad de México,16050,2024-11-30
1981,Eje 2 Poniente 318 Int. 18,Tlalpan,Atizapán de Zaragoza,Estado de México,56367,2025-02-28
1982,Av. Juárez 745 Int. 13,Irrigación,Azcapotzalco,Ciudad de México,11550,2025-02-21
1983,Calle Pino Suárez 878 Int. 2,Milpa Alta,Xochimilco,Ciudad de México,15880,2024-10-19
1984,Eje 2 Norte 520 Int. 4,Mixcoac,Benito Juárez,Ciudad de México,04000,2025-01-08
1985,Calle 5 de Mayo 104,Azcapotzalco,Cuautitlán Izcalli,Estado de México,53280,2024-08-25
1986,Eje Central 421,Agrícola Oriental,Tláhuac,Ciudad de México,09360,2024-10-24
1987,Eje Central 695 Int. 12,Condesa,Coyoacán,Ciudad de México,10800,2024-12-17
1988,Eje 3 Norte 183,Azcapotzalco,Iztacalco,Ciudad de México,05000,2024-07-08
1989,Av. Insurgentes 162 Int. 2,Balbuena,Azcapotzalco,Ciudad de México,11820,2024-10-14
1990,Calle Madero 660,Tlacopac,Tláhuac,Ciudad de México,15490,2024-09-02
1991,Av. Hidalgo 689 Int. 19,Morelos,Metepec,Estado de México,56200,2024-11-24
1992,Calle Correo Mayor 850 Int. 17,Balbuena,Tlalpan,Ciudad de México,03023,2024-09-15
1993,Viaducto Miguel Alemán 135 Int. 3,Culhuacán,Gustavo A. Madero,Ciudad de México,15060,2024-06-04
1994,Av. Canal de Miramontes 840,Del Valle,Ixtapaluca,Estado de México,54330,2024-10-11
1995,Calle Euler 317,Clavería,Miguel Hidalgo,Ciudad de México,05030,2024-07-17
1996,Calle Euler 337,Mixcoac,Álvaro Obregón,Ciudad de México,14738,2024-06-24
1997,Viaducto Miguel Alemán 10 Int. 4,Polanco,Nezahualcóyotl,Estado de México,50060,2024-08-27
1998,Calle República de Cuba 694 Int. 11,Roma Norte,Centro,Aguascalientes,40079,2024-11-21
1999,Calle Donceles 6 Int. 3,Pedregal,Cuajimalpa,CIUDAD DE MÉXICO,13060,2024-07-07
2000,Periférico Sur 223,Moctezuma,Xochimilco,Ciudad de México,15520,2024-07-30
2001,Periférico Norte 443,Balbuena,Centro,San Luis Potosí,22696,2024-07-21
2002,Eje 1 Poniente 770,Aragón,Gustavo A. Madero,Ciudad de México,09540,2025-02-08
